id,category,service,variant,format,material,density,color,price,time,badge,description,hidden
p-a4-80-bw,Баспа,Құжат басып шығару,A4 ақ-қара,A4,Қағаз,80 г/м²,Ақ-қара,50,10 минут,Танымал,Күнделікті құжаттар мен мәтіндерді стандартты кеңсе қағазына басып шығару,false
p-a4-80-color,Баспа,Құжат басып шығару,A4 түрлі-түсті,A4,Қағаз,80 г/м²,Түрлі-түсті,150,10 минут,Танымал,Суреті немесе түрлі-түсті элементтері бар құжаттарды басып шығару,false
p-a4-160-color,Баспа,Қалың қағазға басу,A4 түрлі-түсті,A4,Қағаз,160 г/м²,Түрлі-түсті,250,15 минут,,Сертификат шақыру қағазы және жарқын парақшалар үшін қалың қағаз,false
p-a4-230-color,Баспа,Қалың қағазға басу,A4 түрлі-түсті,A4,Қағаз,230 г/м²,Түрлі-түсті,350,20 минут,,Тығыз қағазға сапалы түрлі-түсті баспа,false
p-a5-80-bw,Баспа,Құжат басып шығару,A5 ақ-қара,A5,Қағаз,80 г/м²,Ақ-қара,35,10 минут,,A5 форматындағы шағын құжаттар мен бланктер,false
p-a5-160-color,Баспа,Қалың қағазға басу,A5 түрлі-түсті,A5,Қағаз,160 г/м²,Түрлі-түсті,180,15 минут,,Шақыру қағаздары мен шағын жарнамалық материалдарға арналған,false
p-a3-160-color,Баспа,Плакат басып шығару,A3 түрлі-түсті,A3,Қағаз,160 г/м²,Түрлі-түсті,700,30 минут,Жаңа қызмет,A3 форматындағы жарнама постер және ақпараттық материал,false
p-a3-230-color,Баспа,Плакат басып шығару,A3 түрлі-түсті,A3,Қағаз,230 г/м²,Түрлі-түсті,950,30 минут,,Қалың қағаздағы премиум A3 баспа,false
p-photo-3x4,Фото,Фото шығару,3×4 фото,3×4,Фотоқағаз,Жылтыр,Түрлі-түсті,500,15 минут,Танымал,Құжаттарға арналған 3×4 фотосурет,false
p-photo-a4,Фото,Фото шығару,A4 фото,A4,Фотоқағаз,Жылтыр,Түрлі-түсті,1200,20 минут,,Жоғары сапалы A4 форматындағы фотосурет,false
p-lamination-a4,Полиграфия,Ламинаттау,A4,A4,Пленка,125 мкм,Мөлдір,350,10 минут,,Құжатты қорғауға арналған ламинаттау,false
p-binding,Полиграфия,Түптеу,Пластик серіппе,A4,Серіппе,20 бетке дейін,Қара,700,20 минут,,Құжаттарды жинақы етіп түптеу,false
p-business-card,Полиграфия,Визитка,100 дана,90×50 мм,Картон,300 г/м²,Түрлі-түсті,4500,1 жұмыс күні,Танымал,Жеке немесе компания визиткаларын дайындау,false
p-mug,Сублимация,Саптыаяққа басу,Ақ саптыаяқ,Стандарт,Керамика,330 мл,Түрлі-түсті,2500,1 жұмыс күні,Жеңілдік бар,Логотип сурет немесе жазу басылған саптыаяқ,false
p-tshirt,Сублимация,Футболкаға басу,Бір жақ беті,S-XXL,Мата,Ақ мата,Түрлі-түсті,4500,1-2 жұмыс күні,,Футболкаға сурет жазу немесе логотип басу,false
p-laser-plywood,Гравировка,Лазерлік гравировка,Фанера,10×10 см,Фанера,3 мм,Күйдіру,1200,1 жұмыс күні,,Фанера бетіне жазу өрнек немесе белгі түсіру,false
p-uv-plastic,УК баспа,УК басып шығару,Пластик беті,A5 дейін,Пластик,Тегіс бет,Түрлі-түсті,3000,1-2 жұмыс күні,Жаңа қызмет,Қатты әрі тегіс материалға УК технологиясымен басу,false
p-egov,Электрондық қызмет,EGOV қызметтері,Құжат алу,Онлайн,Электронды,Стандарт,Жоқ,1000,20 минут,,EGOV.KZ порталы арқылы анықтама және мемлекеттік қызметтер алу,false
